id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2018-06-05 23:03:51.522304,,,,,,f,,{},node,1,1
2,2018-06-05 23:16:04.357465,,,,,,f,,{},node,1,2
