id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2018-05-30 21:09:28.266742,,,,,,t,2018-05-30 21:21:40.675657,{},node,1,1
2,2018-05-30 21:30:45.10858,,,,,,f,,{},node,1,2
3,2018-05-30 21:35:10.079301,,,,,,f,,{},node,1,3
